Agitated	Agitado
You make me agitated	Você me deixa agitado
With all the things you've hated	Com as coisas que você odiou
But you're uncomplicated	Mas você é descomplicada
So why should it affect you	Então porque deveria te afetar
That my loving was so untrue	Que meu amor era tão mentiroso
You do it to me sweetly	Você faz isso para mim docemente
To my yeah yeah	Para meu yeah yeah
You do it to me lovely	Você faz isso para mim graciosamente
To my yeah yeah	Para meu, sim sim!
You try to make me crazy	Você tenta me deixar louco
You make me agitated	Você me deixa agitado
We're not suffocated	Nós não estamos sufocados
And why should it affect you	E  porque deveria te afetar
That my loving was so untrue	Que meu amor era tão mentiroso
You do it to me sweetly	Você faz isso para mim docemente
To my yeah yeah	Para meu yeah yeah
Animals	Animais
Animal	Animal
You’re an animal	Você é um animal
Don’t take anything less	Não é nada além disso
Out of control	Fora de controle
You’re out of control	Você está fora de controle
Strike those in distress	Ataco àqueles aflitos
Analyse	Analise
Advertise	Anuncie
Expand	Expanda
Bend more rules	Quebre mais regras
Buy yourself an island	Compre sua própria ilha
Animals	Animais
We’re animals	Somos animais
Buy when blood is on the street	Pechinchando enquanto há matança lá fora
Out of control	Fora de controle
We’re out of control	Nós estamos fora de controle
Crush those who beg at your feet	Esmagando aqueles que suplicam aos seus pés
Analyse	Analise
Franchise	Franquie
Spread out	Espalhe
Kill the competition	Acabe com a concorrência
And buy yourself an ocean	E compre seu próprio oceano
Amortise	Amortize
Downsize	Reduza
Lay off	Demita
Aftermath	Resultado
War is all around	Guerra está em todo lugar
I'm growing tired of fighting	Eu estou ficando cansado de lutar
I've been drained and I can't hide it	Eu fui drenado e não posso escondê-lo
But I have strength for you, you're all that's real anymore	Mas eu tenho força por você, você é tudo o que é real
I am coming home now, I need your comfort	Eu estou indo pra casa agora, eu preciso de seu conforto
From this moment	A partir desse momento
From this moment	A partir desse momento
You will never be alone	Você não vai mais estar sozinha
We're bound together	Estamos unidos
Now and forever	Agora e pra sempre
The loneliness has gone	A solidão foi embora
States are crumbling, and walls are rising high again	Estados estão desmoronando e as paredes estão se erguendo novamente
It's no place for the faint-hearted	Não é lugar para os fracos de coração
But my heart is strong because now I know where I belong	Mas meu coração é forte, porque agora eu sei onde eu pertenço
It's you and I against the world	Somos você e eu contra o mundo
And we are free	Nós somos livres
From this moment	A partir desse momento
From this moment	A partir desse momento
You will never be alone	Você não vai mais estar sozinha
We're bound together	Estamos unidos
Now and forever	Agora e pra sempre
The loneliness has gone	A solidão foi embora
We've gone against the tide	Nós fomos contra a maré
All we have is each other now	Tudo que temos é um ao outro agora
I am coming home now	Estou indo pra casa agora
I need your comfort	Eu preciso de seu conforto
From this moment	A partir desse momento
From this moment	A partir desse momento
You will never be alone	Você não vai mais estar sozinha
We're bound together	Estamos unidos
Now and forever	Agora e pra sempre
The loneliness has gone	A solidão foi embora
From this moment	A partir desse momento
From this moment	A partir desse momento
You will never be alone	Você não vai mais estar sozinha
We're bound together	Estamos unidos
Now and forever	Agora e pra sempre
The loneliness has gone	A solidão foi embora
From this moment	A partir desse momento
From this moment	A partir desse momento
You will never be alone	Você não vai mais estar sozinha
We're bound together	Estamos unidos
Now and forever	Agora e pra sempre
The loneliness has gone	A solidão foi embora
We're bound together	Estamos unidos
Back In Black	Back In Black
Back in black, I hit the sack	Para trás no preto, eu bati o saco
I've been too long	Estive muito tempo
I'm glad to be back	Estou feliz por estar de volta
Yes I'm let loose from the noose	Sim, eu estou me libertando do nó corrediço
That's kept me hangin' about	Que me manteve pendurado sobre
I been livin like a star 'cause it's gettin' me high	Eu estive vivendo como uma estrela porque está ficando me alta
Forget the hearse, 'cause I never die	Esqueça o carro fúnebre, porque eu nunca morrem
I got nine lives, cat's eyes	Tenho nove vidas, olhos de gato
Abusing every one of them and running wild	Abusando cada um deles e correndo selvagemente
'Cause I'm back! Yes, I'm back!	Porque eu estou de volta! Sim, estou de volta!
Well, I'm back! Yes, I'm back!	Bem, estou de volta! Sim, estou de volta!
Well, I'm back, back	Bem, eu estou de volta, de volta
Well, I'm back in black	Bem, eu estou de volta em preto
Yes, I'm back in black!	Sim, estou de volta de preto!
Back in a band,I got Cadillac	Voltar em uma banda, eu tenho Cadillac
Number one with a bullet, I'm a power pack	Número um com uma bala, sou um pacote de poder
Yes I'm in a band with a gang	Sim, eu estou numa banda com uma gangue
They gotta catch me if they want me to hang	Eles tem que me pegar se quiserem me pendurar
'Cause I'm back on the track	Porque eu estou de volta na pista
And I'm beatin' the flack	E eu estou batendo o flack
Nobody's gonna get me on another trap	Ninguém vai me pegar em outra armadilha
So look at me now, I'm just a makin' my pay	Então olhe para mim agora, eu sou apenas um makin 'meu salário
Don't try to push your luck	Não tente empurrar a sua sorte
Ust get outta my way	Ust saia do meu caminho
'Cause I'm back! Yes, I'm back!	Porque eu estou de volta! Sim, estou de volta!
Well, I'm back! Yeah, I'm back!	Bem, estou de volta! Sim, estou de volta!
Well, I'm back, back	Bem, eu estou de volta, de volta
Well, I'm back in black,	Bem, eu estou de volta em preto,
Yes, I'm back in black!	Sim, estou de volta de preto!
Let's go!	Vamos lá!
Well, I'm back! Yes, I'm back!	Bem, estou de volta! Sim, estou de volta!
Well, I'm back! Yes, I'm back!	Bem, estou de volta! Sim, estou de volta!
Well, I'm back, back	Bem, eu estou de volta, de volta
Well, I'm back in black	Bem, eu estou de volta em preto
Yes, I'm back in black-ow!	Sim, estou de volta em preto-ow!
Aww yeah! Let's go!	Aww yeah! Vamos lá!
Keep on goin'! Yeah yeah!	Continue indo! Yeah yeah!
Yeah... Aww yeah yeah!	Yeah ... Aww yeah, yeah!
Here we go!	Aqui vamos nós!
Well, I'm back (I'm back!)	Bem, eu estou de volta (estou de volta!)
Back  (well, I'm back!)	Back (bem, estou de volta!)
Back  (I'm back!)	Back (estou de volta!)
Back  (I'm back!)	Back (estou de volta!)
Back (I'm back!)	Back (estou de volta!)
Back	De volta
Yes, back in black	Sim, Back in Black
Big Freeze	Grande Congelamento
Healed (healed), or are you still just reeling?	Curado (curado), ou você ainda está cambaleando?
Are you fine (fine)? Have you found	Você está bem (bem)? Já encontrou
A way to escape?	Uma maneira de escapar?
Are you here (here) just because I need you?	Você está aqui (aqui) só porque eu preciso de você?
Can we hole up, a big freeze	Podemos nos esconder um grande congelamento
Is heading our way?	Está vindo em nossa direção?
We are on a hiding to nowhere	Estamos nos afastando para lugar nenhum
